player__participant__session__code,player__participant__session_id,player__participant__id_in_session,player__participant__code,channel,word,timestamp
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,keen,1501188160.47331
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,set,1501188163.40316
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,bone,1501188166.12207
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,sue,1501188166.1782
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,use,1501188168.86872
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,beet,1501188169.63737
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,stared,1501188170.08379
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,nerd,1501188170.49129
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,nerds,1501188173.9962
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,ken,1501188175.1393
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,crates,1501188176.67071
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,trades,1501188177.89081
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,nob,1501188178.4344
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,desk,1501188186.47752
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,desks,1501188189.48988
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,stare,1501188192.25223
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,red,1501188193.01608
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,reed,1501188195.50515
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,non,1501188197.62341
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,crate,1501188197.7273
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,tone,1501188198.17531
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,reeds,1501188199.08839
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,note,1501188199.79185
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,neo,1501188200.87458
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,ten,1501188202.20571
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,sken,1501188202.24296
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,situate,1501188208.35721
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,cards,1501188209.39261
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,bent,1501188210.37078
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,bot,1501188210.53789
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,abets,1501188212.78042
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,knee,1501188213.1524
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,rated,1501188213.46194
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,one,1501188216.09901
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,darts,1501188216.6331
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,knees,1501188217.0116
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,astute,1501188218.29613
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,not,1501188220.36064
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,beat,1501188223.79599
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,bust,1501188225.8944
